cluster	n_peaks	n_proximal	n_distal	n_genes	span	states	genes
1833	4	3	1	5	chr3:121545928-122436025 (890kb)	.	EAF2,ENSG00000288868,GOLGB1,IQCB1,POLQ
1835	4	1	3	2	chr3:11719141-12663911 (945kb)	.	ENSG00000290072,RAF1
1846	4	2	2	4	chr3:128650555-129184217 (534kb)	.	ACAD9,ACAD9-DT,CNBP,ENSG00000289469
1861	4	1	3	1	chr3:140941520-141410248 (469kb)	.	SLC25A36
1872	4	2	2	2	chr3:149752160-150409231 (657kb)	.	COMMD2,TSC22D2
1915	4	1	3	1	chr3:32502241-33143025 (641kb)	.	CMTM6
1922	4	3	1	3	chr3:40328009-40525063 (197kb)	.	ENTPD3,ENTPD3-AS1,ZNF621
1940	4	2	2	2	chr3:48188345-48656601 (468kb)	.	CDC25A,ZNF589
1942	4	2	2	3	chr3:48556572-49840174 (1284kb)	.	LAMB2,MST1,RNF123
1944	4	2	2	3	chr3:49553786-50788866 (1235kb)	.	BSN,BSN-DT,DOCK3
1976	4	1	3	1	chr3:9302260-10009281 (707kb)	.	TTLL3
1977	4	1	3	1	chr3:8887522-9946790 (1059kb)	.	PRRT3-AS1
1986	4	2	2	2	chr4:108553363-109560302 (1007kb)	.	MCUB,OSTC
1992	4	2	2	2	chr4:112514900-113465288 (950kb)	.	NEUROG2,NEUROG2-AS1
1995	4	3	1	4	chr4:120647854-121765203 (1117kb)	.	PP12613,PRDM5,QRFPR,SMIM43
1996	4	3	1	3	chr4:121307823-121824158 (516kb)	.	ANXA5,CCNA2,EXOSC9
1997	4	3	1	3	chr4:1248308-1618850 (371kb)	.	CTBP1-DT,ENSG00000244459,MAEA
2000	4	2	2	3	chr4:586874-1347565 (761kb)	.	GAK,PCGF3,TMEM175
2050	4	1	3	1	chr4:6909359-7831559 (922kb)	.	TBC1D14
2055	4	3	1	5	chr4:76147741-77157212 (1009kb)	.	CCNG2,ENSG00000286074,ENSG00000289586,NUP54,SEPTIN11
2057	4	1	3	2	chr4:75573518-76388821 (815kb)	.	ENSG00000289515,STBD1
2108	4	2	2	3	chr5:138008126-138657067 (649kb)	.	CDC23,EGR1,ENSG00000289267
2110	4	2	2	3	chr5:139273720-139766041 (492kb)	.	MATR3,SNHG4,SPATA24
2120	4	2	2	2	chr5:145834899-146422447 (588kb)	.	LARS1,PRELID2
2126	4	3	1	4	chr5:150700483-151239490 (539kb)	.	ANXA6,DCTN4,ENSG00000254298,RBM22
2130	4	2	2	4	chr5:154038637-154858714 (820kb)	.	CNOT8,FAM114A2,FAXDC2,MFAP3
2148	4	1	3	1	chr5:176647058-177371143 (724kb)	.	TSPAN17
2162	4	2	2	2	chr5:337655-785459 (448kb)	.	ENSG00000288930,ZDHHC11B
2189	4	2	2	2	chr5:79107724-79978994 (871kb)	.	HOMER1,TENT2
2192	4	1	3	1	chr5:80068274-81270455 (1202kb)	.	ANKRD34B
2203	4	2	2	3	chr6:107489381-107957795 (468kb)	.	ENSG00000272476,SEC63,SOBP
2208	4	1	3	2	chr6:11044151-11947489 (903kb)	.	ELOVL2,ELOVL2-AS1
2219	4	2	2	1	chr6:118893549-119203728 (310kb)	.	ASF1A
2243	4	1	3	2	chr6:138338475-138773864 (435kb)	.	CCDC28A,CCDC28A-AS1
2277	4	2	2	2	chr6:2320516-3227854 (907kb)	.	ENSG00000272277,SERPINB1
2285	4	2	2	4	chr6:27229752-28225696 (996kb)	.	H2AC17,H2BC17,H3C12,ZSCAN9
2295	4	2	2	2	chr6:33482211-33711869 (230kb)	.	ITPR3,UQCC2
2318	4	2	2	3	chr6:42044329-43229662 (1185kb)	.	CCND3,DNPH1,TAF8
2331	4	1	3	1	chr6:52652108-53652181 (1000kb)	.	ENSG00000288646
2362	4	1	3	1	chr7:100091825-101420865 (1329kb)	.	TRIP6
2365	4	2	2	3	chr7:100247438-101274337 (1027kb)	.	ENSG00000289690,ENSG00000289691,UFSP1
2377	4	1	3	1	chr7:104848478-105554012 (706kb)	.	KMT2E-AS1
2385	4	1	3	1	chr7:116210414-116863364 (653kb)	.	TES
2390	4	1	3	1	chr7:128362015-128821396 (459kb)	.	PRRT4
2393	4	1	3	1	chr7:128893072-129329481 (436kb)	.	TSPAN33
2400	4	3	1	3	chr7:135509634-136381712 (872kb)	.	CNOT4,NUP205,STMP1
2408	4	2	2	3	chr7:148698443-149404738 (706kb)	.	CUL1,ENSG00000273314,ZNF212
2416	4	1	3	2	chr7:151009234-151877785 (869kb)	.	PRKAG2,PRKAG2-AS1
2422	4	2	2	2	chr7:152652382-152898073 (246kb)	.	ACTR3B,ENSG00000289146
2430	4	2	2	3	chr7:2314324-2758590 (444kb)	.	BRAT1,EIF3B,SNX8
2439	4	2	2	2	chr7:27130768-28411269 (1281kb)	.	HIBADH,HOXA4
2447	4	3	1	3	chr7:35036953-35695492 (659kb)	.	DPY19L1,ENSG00000287249,HERPUD2-AS1
2449	4	1	3	2	chr7:35646682-36747010 (1100kb)	.	SEPTIN7,SEPTIN7-DT
2462	4	2	2	3	chr7:5282221-6009340 (727kb)	.	AIMP2,FSCN1,PMS2
2467	4	2	2	2	chr7:55002239-55964665 (962kb)	.	ELDR,ENSG00000231394
2475	4	3	1	3	chr7:65251988-65770832 (519kb)	.	ENSG00000289108,LINC03006,ZNF92
2480	4	2	2	3	chr7:65982502-66493993 (511kb)	.	GUSB,LINC00174,LINC03011
2486	4	1	3	2	chr7:73683378-74658061 (975kb)	.	BUD23,DNAJC30
2512	4	3	1	5	chr8:10839671-11868270 (1029kb)	.	ENSG00000280273,MTMR9,PINX1,PINX1-DT,XKR6
2523	4	1	3	1	chr8:12436634-12754197 (318kb)	.	FAM86B2
2554	4	1	3	1	chr8:42526100-43171307 (645kb)	.	POMK
2559	4	1	3	1	chr8:65721317-66712897 (992kb)	.	SGK3
2565	4	1	3	3	chr8:70402004-70718304 (316kb)	.	ENSG00000285579,LACTB2,XKR9
2586	4	3	1	5	chr9:113220952-113951259 (730kb)	.	CDC26,FKBP15,PRPF4,SLC31A1,WDR31
2592	4	2	2	2	chr9:121686783-123356193 (1669kb)	.	CRB2,ZBTB6
2599	4	1	3	1	chr9:126151751-126861122 (709kb)	.	ZBTB34
2603	4	1	3	1	chr9:127568853-128191698 (623kb)	.	DNM1
2612	4	3	1	3	chr9:129824047-130470499 (646kb)	.	ENSG00000288956,FNBP1,TOR1A
2663	4	3	1	5	chr9:74952265-75088627 (136kb)	.	C9orf40,CARNMT1,CARNMT1-AS1,NMRK1,OSTF1
2671	4	2	2	2	chr9:92884769-93365949 (481kb)	.	FGD3,NINJ1
2685	4	2	2	2	chrX:103310542-103954611 (644kb)	.	BEX2,RAB9B
2686	4	3	1	3	chrX:103585382-104167333 (582kb)	.	FAM199X,MORF4L2,MORF4L2-AS1
2691	4	2	2	2	chrX:107396848-108200051 (803kb)	.	PRPS1,TSC22D3
2693	4	2	2	3	chrX:107737058-108091919 (355kb)	.	ATG4A,NCBP2L,PSMD10
2694	4	1	3	2	chrX:109569956-110450302 (880kb)	.	ACSL4,ENSG00000289365
2717	4	1	3	1	chrX:153928141-154535135 (607kb)	.	MECP2
2720	4	1	3	1	chrX:19382668-19888758 (506kb)	.	MAP3K15
2722	4	1	3	2	chrX:23629715-24150324 (521kb)	.	ZFX,ZFX-AS1
2724	4	1	3	2	chrX:40107526-40985767 (878kb)	.	MED14,MED14OS
2732	4	3	1	4	chrX:47435900-48972670 (1537kb)	.	KCND1,SPACA5,ZNF182,ZNF81
2746	4	1	3	1	chrX:69097332-70133571 (1036kb)	.	IGBP1
2751	4	1	3	1	chrX:73847365-74420451 (573kb)	.	JPX
2752	4	2	2	2	chrX:74293488-75274195 (981kb)	.	FTX,RLIM
2800	4	0	4	0	chr10:42551537-43455993 (904kb)	.	.
2814	4	4	0	3	chr10:70132151-70478945 (347kb)	.	AIFM2,PALD1,TYSND1
2865	4	4	0	4	chr11:107457720-108498535 (1041kb)	.	ALKBH8,CWF19L2,ELMOD1,POGLUT3
2947	4	4	0	4	chr1:153627067-154326470 (699kb)	.	ATP8B2,CREB3L4,S100A1,SLC39A1
2948	4	4	0	4	chr1:153977165-154221042 (244kb)	.	C1orf43,JTB,JTB-DT,UBAP2L
2958	4	4	0	4	chr1:159925481-160401462 (476kb)	.	IGSF9,PIGM,TAGLN2,VANGL2
3019	4	0	4	0	chr11:8262713-8766904 (504kb)	.	.
3057	4	0	4	0	chr1:206557221-207831087 (1274kb)	.	.
3077	4	0	4	0	chr1:211413100-212870895 (1458kb)	.	.
3081	4	0	4	0	chr12:188958-1171949 (983kb)	.	.
3088	4	0	4	0	chr12:122021801-122915343 (894kb)	.	.
3179	4	0	4	0	chr1:244867703-245190820 (323kb)	.	.
3283	4	0	4	0	chr13:66265165-67062110 (797kb)	.	.
3290	4	0	4	0	chr13:69767215-70129824 (363kb)	.	.
3381	4	0	4	0	chr1:45536952-46442584 (906kb)	.	.
3395	4	4	0	5	chr14:74426031-75279111 (853kb)	.	ACYP1,AREL1,FCF1,FOS,SYNDIG1L
3420	4	0	4	0	chr1:53822147-54489054 (667kb)	.	.
3437	4	0	4	0	chr15:57951489-58988206 (1037kb)	.	.
3448	4	0	4	0	chr15:67884491-68888722 (1004kb)	.	.
3458	4	4	0	5	chr15:72319766-72783991 (464kb)	.	ADPGK-AS1,ARIH1,CELF6,ENSG00000273025,TMEM202-AS1
3587	4	0	4	0	chr17:19469393-20284496 (815kb)	.	.
3655	4	4	0	5	chr17:76072424-76969741 (897kb)	.	ENSG00000267568,EXOC7,SRP68,ST6GALNAC2,ZACN
3715	4	0	4	0	chr1:87020797-88165429 (1145kb)	.	.
3765	4	0	4	0	chr19:45615727-46448469 (833kb)	.	.
3799	4	4	0	8	chr19:7629488-8390509 (761kb)	.	CTXN1,ENSG00000268400,ENSG00000269139,PET100,RAB11B,RAB11B-AS1,TRAPPC5,XAB2
3812	4	0	4	0	chr20:3408649-4332011 (923kb)	.	.
3866	4	0	4	0	chr21:31781749-32854524 (1073kb)	.	.
3879	4	0	4	0	chr21:41805825-42692572 (887kb)	.	.
3882	4	0	4	0	chr21:43262411-43827501 (565kb)	.	.
3951	4	4	0	6	chr22:18612351-19479279 (867kb)	.	CDC45,CLTCL1,ENSG00000287146,RIMBP3,SLC25A1,UFD1
3983	4	0	4	0	chr2:231053020-231808075 (755kb)	.	.
3984	4	0	4	0	chr2:231227356-232388140 (1161kb)	.	.
3993	4	0	4	0	chr2:23593287-24084885 (492kb)	.	.
4005	4	4	0	4	chr22:41092444-41947294 (855kb)	.	CENPM,EP300,EP300-AS1,TEF
4013	4	0	4	0	chr22:43385753-44024307 (639kb)	.	.
4106	4	0	4	0	chr3:138916016-139299683 (384kb)	.	.
4124	4	0	4	0	chr3:16336323-16601552 (265kb)	.	.
4163	4	0	4	0	chr3:45156422-45896777 (740kb)	.	.
4172	4	4	0	5	chr3:49007724-49690124 (682kb)	.	GPX1,KLHDC8B,MST1,RNF123,WDR6
4297	4	0	4	0	chr5:122720870-123449047 (728kb)	.	.
4328	4	4	0	6	chr5:149141033-150778711 (1638kb)	.	ABLIM3,ARHGEF37,CSNK1A1,HMGXB3,SMIM3,TIGD6
4355	4	0	4	0	chr5:173597890-174794179 (1196kb)	.	.
4475	4	0	4	0	chr6:149517633-150197878 (680kb)	.	.
4571	4	0	4	0	chr7:102286712-103038077 (751kb)	.	.
4614	4	0	4	0	chr7:1537266-2451717 (914kb)	.	.
4716	4	0	4	0	chr8:37142780-37996572 (854kb)	.	.
4743	4	0	4	0	chr9:99556381-100598923 (1043kb)	.	.
4775	4	0	4	0	chr9:130701132-131755820 (1055kb)	.	.
4792	4	0	4	0	chr9:19517642-20486741 (969kb)	.	.
1	3	2	1	2	chr10:100267241-101354827 (1088kb)	.	BTRC,CWF19L1
5	3	2	1	4	chr10:100535530-101031633 (496kb)	.	MRPL43,PDZD7,SFXN3,TWNK
15	3	2	1	3	chr10:102713694-103662081 (948kb)	.	ARL3,SFXN2,TAF5
17	3	1	2	1	chr10:103053939-103918702 (865kb)	.	STN1
24	3	2	1	2	chr10:113538311-113855293 (317kb)	.	DCLRE1A,NHLRC2
25	3	2	1	2	chr10:114755014-114938494 (183kb)	.	ABLIM1,TRUB1
34	3	1	2	2	chr10:119029320-119602761 (573kb)	.	LINC03036,NANOS1
35	3	1	2	1	chr10:118818399-119165828 (347kb)	.	SFXN4
57	3	1	2	2	chr10:21516175-22469208 (953kb)	.	ENSG00000286881,SKIDA1
59	3	1	2	1	chr10:22553309-23068448 (515kb)	.	PIP4K2A
61	3	2	1	2	chr10:24221588-25175160 (954kb)	.	ARHGAP21,GPR158
66	3	1	2	1	chr10:30784205-31320836 (537kb)	.	ZEB1-AS1
69	3	2	1	2	chr10:34667822-35640834 (973kb)	.	CCNY-AS1,ENSG00000287528
78	3	2	1	3	chr10:5812857-5890292 (77kb)	.	ANKRD16,ENSG00000272764,FBH1
79	3	1	2	1	chr10:5692708-6202021 (509kb)	.	ENSG00000213994
83	3	1	2	1	chr10:67788485-68231910 (443kb)	.	ATOH7
87	3	1	2	1	chr10:68416941-68827610 (411kb)	.	STOX1
93	3	2	1	2	chr10:70382524-70603893 (221kb)	.	EIF4EBP2,LRRC20
97	3	1	2	1	chr10:71376904-71889509 (513kb)	.	ENSG00000289592
105	3	1	2	1	chr10:78552341-79374912 (823kb)	.	ENSG00000282952
109	3	1	2	1	chr10:86366750-86866023 (499kb)	.	GRID1
129	3	1	2	3	chr1:99885416-100167065 (282kb)	.	ENSG00000228084,ENSG00000283761,SLC35A3
135	3	1	2	1	chr1:904649-1157580 (253kb)	.	ENSG00000272438
137	3	2	1	2	chr1:108000579-109466915 (1466kb)	.	FAM102B,SYPL2
149	3	1	2	2	chr11:102346688-103351279 (1005kb)	.	BIRC2,ENSG00000288833
152	3	2	1	3	chr1:110338748-110720835 (382kb)	.	KCNA3,RBM15,RBM15-AS1
153	3	2	1	4	chr11:10408606-10858338 (450kb)	.	IRAG1-AS1,RNF141,ZBED5,ZBED5-AS1
155	3	1	2	2	chr1:778256-1666517 (888kb)	.	ENSG00000291215,LINC01409
159	3	1	2	1	chr11:112024929-112145590 (121kb)	.	DLAT
167	3	2	1	3	chr11:117145056-118145828 (1001kb)	.	FXYD6,FXYD6-FXYD2,PAFAH1B2
169	3	1	2	1	chr11:11841436-11849670 (8kb)	.	USP47
170	3	1	2	1	chr11:118551442-119206491 (655kb)	.	CBL
171	3	1	2	2	chr11:118621232-118997736 (377kb)	.	CENATAC,CENATAC-DT
172	3	1	2	2	chr11:118634790-119067925 (433kb)	.	VPS11,VPS11-DT
174	3	1	2	1	chr11:119334186-120494846 (1161kb)	.	RNF26
175	3	1	2	1	chr11:120300083-120759125 (459kb)	.	TLCD5
176	3	1	2	1	chr11:120325486-120660353 (335kb)	.	TLCD5
177	3	1	2	1	chr11:12066719-12167556 (101kb)	.	ENSG00000254991
180	3	1	2	1	chr11:123016788-123555233 (538kb)	.	GRAMD1B
188	3	1	2	1	chr11:125947347-126536373 (589kb)	.	ENSG00000254833
189	3	1	2	2	chr11:126146792-126480986 (334kb)	.	FAM118B,RPUSD4
190	3	2	1	3	chr1:11262497-11791532 (529kb)	.	FBXO2,FBXO44,MTOR
192	3	1	2	1	chr1:112716315-113115420 (399kb)	.	PPM1J-DT
200	3	1	2	1	chr1:114780279-115469942 (690kb)	.	SIKE1
219	3	2	1	2	chr11:208777-819607 (611kb)	.	PNPLA2,TALDO1
222	3	2	1	2	chr11:318936-926027 (607kb)	.	AP2A2,ENSG00000251661
224	3	1	2	1	chr11:2566888-3379450 (813kb)	.	ZNF195
228	3	1	2	1	chr11:33375830-33793259 (417kb)	.	KIAA1549L
233	3	1	2	1	chr11:36022967-36594865 (572kb)	.	IFTAP
235	3	1	2	1	chr1:143203287-143736226 (533kb)	.	ENSG00000232721
236	3	2	1	2	chr11:43579617-44096004 (516kb)	.	ENSG00000283341,EXT2
237	3	1	2	1	chr1:145093614-145997237 (904kb)	.	TXNIP
247	3	2	1	1	chr11:47153211-47270184 (117kb)	.	MADD
250	3	1	2	1	chr1:147540863-148263977 (723kb)	.	BCL9
253	3	2	1	2	chr11:47426137-47848678 (423kb)	.	NUP160,PSMC3
257	3	1	2	1	chr1:149712770-150221505 (509kb)	.	SF3B4
262	3	2	1	3	chr1:149607842-150689039 (1081kb)	.	CIART,ENSG00000275557,ENSG00000289041
266	3	2	1	2	chr1:150561027-151190337 (629kb)	.	ADAMTSL4-AS1,ENSG00000289457
267	3	1	2	1	chr1:151048551-151852021 (803kb)	.	C1orf56
272	3	2	1	3	chr1:153223103-154406050 (1183kb)	.	IL6R,IL6R-AS1,ILF2
279	3	1	2	2	chr1:154943854-155120452 (177kb)	.	ENSG00000289103,ZBTB7B
286	3	1	2	1	chr11:57499611-57645034 (145kb)	.	SERPING1
293	3	2	1	2	chr1:160796081-161314960 (519kb)	.	LY9,SDHC
294	3	1	2	1	chr1:160193163-161098079 (905kb)	.	KLHDC9
304	3	2	1	2	chr1:161749370-162498092 (749kb)	.	DUSP12,UHMK1
306	3	2	1	2	chr11:62316506-62842578 (526kb)	.	B3GAT3,WDR74
312	3	1	2	1	chr11:62761079-62965898 (205kb)	.	POLR2G
324	3	2	1	2	chr1:166875921-167052292 (176kb)	.	ENSG00000227907,TADA1
325	3	1	2	1	chr11:67239516-67483417 (244kb)	.	ENSG00000256514
327	3	1	2	1	chr1:167442222-167820460 (378kb)	.	ENSG00000232194
328	3	1	2	1	chr11:67151192-67469557 (318kb)	.	TMEM134
334	3	2	1	2	chr11:68213607-68998542 (785kb)	.	GAL,KMT5B
335	3	1	2	2	chr1:168603510-169809880 (1206kb)	.	ENSG00000213062,SLC19A2
338	3	2	1	3	chr11:69817787-70270770 (453kb)	.	ENSG00000260348,ENSG00000289074,PPFIA1
340	3	1	2	1	chr1:171404175-172467162 (1063kb)	.	VAMP4
357	3	1	2	2	chr11:76235763-76446108 (210kb)	.	EMSY,EMSY-DT
360	3	2	1	4	chr11:77383982-77821277 (437kb)	.	AAMDC,ENSG00000268635,PAK1,RSF1
361	3	2	1	2	chr11:77589778-77980735 (391kb)	.	AQP11,CLNS1A
365	3	1	2	2	chr1:178725794-178985545 (260kb)	.	RALGPS2,RALGPS2-AS1
367	3	1	2	1	chr1:180154417-180875388 (721kb)	.	QSOX1
370	3	1	2	1	chr1:182656699-183024329 (368kb)	.	LAMC1
372	3	1	2	1	chr1:182789630-182962811 (173kb)	.	NPL
373	3	2	1	4	chr11:82901283-83193845 (293kb)	.	ANKRD42,ANKRD42-DT,RAB30,RAB30-DT
375	3	1	2	1	chr1:183623363-184295795 (672kb)	.	TSEN15
384	3	2	1	3	chr1:18956256-19252511 (296kb)	.	EMC1,IFFO2,MRTO4
386	3	1	2	2	chr1:192820970-193408706 (588kb)	.	RO60,UCHL5
389	3	2	1	2	chr1:19485147-19882937 (398kb)	.	CAPZB,OTUD3
394	3	1	2	2	chr1:200123152-201119490 (996kb)	.	DDX59,DDX59-AS1
406	3	1	2	1	chr1:205529038-205631277 (102kb)	.	ELK4
408	3	1	2	1	chr1:20633871-21818985 (1185kb)	.	PINK1
409	3	1	2	2	chr1:206479589-206635878 (156kb)	.	DYRK3,DYRK3-AS1
420	3	1	2	1	chr12:108562302-108823175 (261kb)	.	ISCU
424	3	1	2	1	chr12:109154506-110450529 (1296kb)	.	ARPC3
425	3	2	1	2	chr12:109833130-109999617 (166kb)	.	ANKRD13A,TRPV4
428	3	1	2	1	chr12:110613731-111490557 (877kb)	.	TCTN1
429	3	1	2	1	chr12:111034580-111665066 (630kb)	.	CUX2
430	3	2	1	3	chr12:111548914-112108890 (560kb)	.	ERP29,NAA25,TMEM116
437	3	2	1	2	chr1:21149582-21509379 (360kb)	.	ALPL,NBPF3
440	3	1	2	1	chr12:116122714-116359260 (237kb)	.	ENSG00000286354
443	3	2	1	2	chr12:116624680-117190662 (566kb)	.	ENSG00000257654,FBXO21
459	3	1	2	1	chr12:123712150-124321212 (609kb)	.	ATP6V0A2
465	3	2	1	2	chr12:12725145-13278692 (554kb)	.	APOLD1,ENSG00000286869
466	3	2	1	3	chr1:212857535-213505846 (648kb)	.	FLVCR1,FLVCR1-DT,RPS6KC1
467	3	1	2	2	chr12:131837762-132560510 (723kb)	.	ENSG00000256312,LINC02361
468	3	1	2	2	chr12:131865177-132241635 (376kb)	.	ENSG00000255992,PUS1
481	3	1	2	1	chr1:220026688-220300751 (274kb)	.	BPNT1
499	3	2	1	3	chr12:26126532-26938584 (812kb)	.	ENSG00000256894,FGFR1OP2,INTS13
502	3	1	2	1	chr1:226547823-227762764 (1215kb)	.	STUM
509	3	1	2	1	chr1:228031029-228459458 (428kb)	.	ARF1
525	3	1	2	1	chr1:232486295-233023441 (537kb)	.	NTPCR
527	3	2	1	3	chr1:233635916-234374028 (738kb)	.	COA6,COA6-AS1,ENSG00000233332
533	3	1	2	1	chr1:234544052-234684470 (140kb)	.	IRF2BP2
543	3	1	2	2	chr1:240554285-241357420 (803kb)	.	ENSG00000286496,RGS7
552	3	2	1	3	chr12:45729260-46371628 (642kb)	.	ARID2,ENSG00000289229,SLC38A2-AS1
558	3	2	1	3	chr12:48105728-48936652 (831kb)	.	KANSL2,PFKM,SENP1
566	3	2	1	2	chr12:50987070-51239330 (252kb)	.	DAZAP2,TFCP2
569	3	1	2	1	chr12:51894995-52080163 (185kb)	.	SMIM41
575	3	2	1	3	chr1:25338051-25998461 (660kb)	.	PAFAH2,RSRP1,TMEM50A
576	3	2	1	4	chr12:53500636-54166846 (666kb)	.	ATF7,ATF7-NPFF,ENSG00000270175,TARBP2
583	3	1	2	2	chr12:55632112-55817453 (185kb)	.	ORMDL2,SARNP
590	3	1	2	2	chr12:55764492-56488752 (724kb)	.	ENSG00000285528,GLS2
602	3	1	2	2	chr12:6533950-6938276 (404kb)	.	GAPDH,GAPDH-DT
616	3	2	1	2	chr1:27631923-28370571 (739kb)	.	PHACTR4,RPA2
618	3	1	2	2	chr12:76559414-76938933 (380kb)	.	ENSG00000257526,OSBPL8
626	3	1	2	1	chr1:28437421-28887288 (450kb)	.	EPB41
633	3	1	2	2	chr12:93886397-94460318 (574kb)	.	CEP83,CEP83-DT
636	3	1	2	2	chr12:95548264-96036118 (488kb)	.	AMDHD1,CCDC38
638	3	2	1	2	chr12:98515169-99437714 (923kb)	.	TMPO,TMPO-AS1
645	3	1	2	1	chr13:110870049-111239172 (369kb)	.	PRECSIT
651	3	2	1	3	chr13:19633343-19958318 (325kb)	.	ENSG00000289235,MPHOSPH8,ZMYM2
654	3	2	1	3	chr13:21113696-21459572 (346kb)	.	MRPL57,SKA3,ZDHHC20
663	3	1	2	1	chr1:32871078-32998786 (128kb)	.	RNF19B
674	3	1	2	1	chr13:41310965-41911263 (600kb)	.	NAA16
682	3	1	2	1	chr13:48975648-49680155 (705kb)	.	FNDC3A
683	3	2	1	3	chr1:3491350-3901524 (410kb)	.	CEP104,DFFB,LINC01134
684	3	2	1	4	chr13:49247761-50125187 (877kb)	.	CDADC1,DLEU2,ENSG00000274270,ENSG00000288743
689	3	1	2	1	chr1:35079173-35807786 (729kb)	.	AGO4
699	3	1	2	1	chr13:60163537-60518367 (355kb)	.	DIAPH3
701	3	1	2	1	chr13:77919489-78978639 (1059kb)	.	OBI1-AS1
703	3	1	2	2	chr13:79393808-79508905 (115kb)	.	RBM26,RBM26-AS1
712	3	1	2	1	chr1:38532769-39640072 (1107kb)	.	HEYL
715	3	1	2	1	chr13:94712757-95192280 (480kb)	.	SOX21
721	3	1	2	1	chr13:98142883-98742229 (599kb)	.	FARP1
726	3	2	1	3	chr1:39690952-40708992 (1018kb)	.	HPCAL4,PPIE,RLF
728	3	2	1	3	chr1:40315251-40980143 (665kb)	.	CTPS1,ENSG00000284677,ZFP69B
733	3	1	2	2	chr14:102510901-103333600 (823kb)	.	EIF5,ENSG00000291313
735	3	1	2	2	chr14:102086851-103057863 (971kb)	.	CDC42BPB,ENSG00000289207
745	3	1	2	1	chr14:20681923-21071834 (390kb)	.	NDRG2
749	3	1	2	2	chr14:22598153-23478548 (880kb)	.	ABHD4,ENSG00000275552
751	3	2	1	2	chr14:22886855-22930695 (44kb)	.	PRMT5,PRMT5-DT
754	3	2	1	4	chr14:23057549-24443039 (1385kb)	.	CDH24,ENSG00000258744,ENSG00000288795,SDR39U1
758	3	1	2	1	chr14:24135721-24679200 (543kb)	.	PSME1
767	3	2	1	3	chr1:43358214-43970238 (612kb)	.	CDC20,CDC20-DT,DPH2
771	3	1	2	1	chr1:44029767-44862088 (832kb)	.	ENSG00000230615
772	3	1	2	2	chr1:44484470-44775577 (291kb)	.	ENSG00000225721,RPS8
777	3	1	2	1	chr14:49852963-50326929 (474kb)	.	NEMF
783	3	2	1	2	chr14:52133269-52707798 (575kb)	.	ENSG00000258757,PSMC6
784	3	1	2	1	chr14:52547172-53306422 (759kb)	.	ERO1A
788	3	1	2	1	chr14:54805893-55021759 (216kb)	.	GCH1
789	3	1	2	1	chr14:54826914-55411982 (585kb)	.	ATG14
796	3	1	2	1	chr1:45849740-46576123 (726kb)	.	NSUN4
799	3	1	2	2	chr14:59454563-60250210 (796kb)	.	ENSG00000261120,LRRC9
802	3	1	2	2	chr1:46223576-46332326 (109kb)	.	LRRC41,UQCRH
804	3	1	2	2	chr14:63543058-64183944 (641kb)	.	ENSG00000261242,PPP2R5E
810	3	2	1	2	chr14:68631874-69191643 (560kb)	.	DCAF5,EXD2
823	3	1	2	2	chr14:74718749-75259365 (541kb)	.	ENSG00000258820,ENSG00000289340
827	3	1	2	1	chr14:75512369-75661748 (149kb)	.	ERG28
828	3	1	2	2	chr14:76784864-77320697 (536kb)	.	GSTZ1,POMT2
830	3	1	2	1	chr14:76961851-77226208 (264kb)	.	ENSG00000269883
836	3	2	1	2	chr14:90060995-91173382 (1112kb)	.	KCNK13,LINC02321
840	3	2	1	3	chr14:95364295-95535111 (171kb)	.	ENSG00000258572,SNHG10,SYNE3
848	3	1	2	1	chr15:101479155-101967819 (489kb)	.	FAM138E
850	3	1	2	2	chr1:51671831-52211068 (539kb)	.	BTF3L4,TXNDC12
851	3	1	2	1	chr1:51878042-52739221 (861kb)	.	NRDC
854	3	2	1	3	chr1:52697870-53221181 (523kb)	.	COA7,CZIB,CZIB-DT
855	3	2	1	2	chr1:53028825-53838808 (810kb)	.	CPT2,NDC1
862	3	1	2	1	chr15:40859270-41333215 (474kb)	.	OIP5
863	3	1	2	1	chr15:40953229-41402627 (449kb)	.	CHAC1
865	3	1	2	2	chr15:41143475-42491106 (1348kb)	.	SNAP23,ZNF106
869	3	1	2	1	chr15:42392516-42921319 (529kb)	.	TTBK2
871	3	1	2	1	chr15:42641619-43792372 (1151kb)	.	UBR1
878	3	2	1	4	chr15:59313818-59689207 (375kb)	.	BNIP2,ENSG00000259238,FAM81A,MYO1E
880	3	1	2	1	chr1:56258157-57147525 (889kb)	.	PRKAA2
890	3	1	2	2	chr1:56584970-57111535 (527kb)	.	PLPP3,PRKAA2
894	3	2	1	4	chr15:67383294-68277460 (894kb)	.	C15orf61,ENSG00000260657,FEM1B,IQCH-AS1
895	3	1	2	2	chr15:67840012-68776999 (937kb)	.	ENSG00000260657,FEM1B
898	3	1	2	2	chr15:68304625-69414860 (1110kb)	.	KIF23,KIF23-AS1
912	3	1	2	1	chr15:74857075-75348165 (491kb)	.	ENSG00000275645
914	3	2	1	3	chr1:5752870-6393918 (641kb)	.	ACOT7,ENSG00000271746,NPHP4
916	3	1	2	2	chr15:76059691-76916695 (857kb)	.	NRG4,TMEM266
917	3	1	2	1	chr15:76931260-77290679 (359kb)	.	RCN2
920	3	1	2	2	chr15:77724881-78076968 (352kb)	.	SH2D7,TBC1D2B
