peak	types	genes	states	n_edges
chr6:135820450-135820635	distal	.	.	8
chr6:135909835-135910111	distal	.	.	8
chr6:13594624-13594774	distal	.	.	12
chr6:13624922-13625072	distal	.	.	4
chr6:136289214-136289570	proximal	BCLAF1,ENSG00000289312	.	8
chr6:136289702-136290572	proximal	BCLAF1,ENSG00000289312	.	4
chr6:136341797-136341949	distal	.	.	4
chr6:136761571-136761722	distal	.	.	4
chr6:136792244-136792987	proximal	MAP3K5	.	4
chr6:13688560-13688887	distal	.	.	6
chr6:136921635-136922090	proximal	SLC35D3	.	8
chr6:136922333-136922693	proximal	SLC35D3	.	8
chr6:137076592-137076755	distal	.	.	4
chr6:137248850-137249000	distal	.	.	4
chr6:137309228-137309447	distal	.	.	2
chr6:137314170-137314555	distal	.	.	2
chr6:137510961-137511111	distal	.	.	4
chr6:137574433-137574583	distal	.	.	4
chr6:137616069-137616246	distal	.	.	2
chr6:137665177-137665728	distal	.	.	2
chr6:137705391-137705626	distal	.	.	2
chr6:137707989-137708152	distal	.	.	4
chr6:137905033-137905183	distal	.	.	2
chr6:138107365-138107583	proximal	PERP	.	4
chr6:138130497-138130647	distal	.	.	2
chr6:13813699-13814793	proximal	MCUR1	.	8
chr6:1381907-1382305	distal	.	.	8
chr6:138209295-138209457	distal	.	.	2
chr6:138329933-138330118	distal	.	.	2
chr6:138338475-138338625	distal	.	.	2
chr6:138403862-138404718	proximal	HEBP2	.	12
chr6:138415198-138415409	distal	.	.	10
chr6:138499330-138499670	distal	.	.	4
chr6:138591003-138591153	distal	.	.	2
chr6:138692337-138692492	proximal	NHSL1,NHSL1-AS1	.	12
chr6:138722721-138722931	distal	.	.	4
chr6:138773275-138773864	proximal	CCDC28A,CCDC28A-AS1	.	8
chr6:1388330-1388520	distal	.	.	2
chr6:13886746-13886927	distal	.	.	4
chr6:138876091-138876303	distal	.	.	4
chr6:1389350-1389765	proximal	FOXF2	.	4
chr6:139029437-139029774	proximal	ABRACL	.	4
chr6:139113035-139113231	distal	.	.	8
chr6:139134831-139135155	proximal	HECA	.	4
chr6:13924599-13925020	proximal	RNF182	.	4
chr6:139292049-139292331	proximal	TXLNB	.	4
chr6:139300913-139301117	distal	.	.	4
chr6:139764470-139764620	distal	.	.	4
chr6:14144704-14144935	distal	.	.	4
chr6:14210827-14211502	proximal	ENSG00000285639,ENSG00000286281	.	12
chr6:142301831-142302311	proximal	ADGRG6	.	4
chr6:142377223-142377566	distal	.	.	2
chr6:142409563-142409788	distal	.	.	2
chr6:142624775-142624989	distal	.	.	2
chr6:142723343-142723493	distal	.	.	4
chr6:142756751-142756901	distal	.	.	2
chr6:142845968-142846466	distal	.	.	12
chr6:142865597-142865747	distal	.	.	2
chr6:142945741-142945945	proximal	HIVEP2-DT	.	4
chr6:142946300-142946641	proximal	HIVEP2-DT	.	4
chr6:143060294-143060995	proximal	AIG1,LINC01277	.	4
chr6:143124896-143125065	distal	.	.	4
chr6:143204254-143204404	distal	.	.	2
chr6:143224259-143224446	distal	.	.	4
chr6:143294028-143294265	distal	.	.	2
chr6:143449826-143450230	proximal	ADAT2,PEX3	.	16
chr6:143450617-143451347	proximal	ADAT2,PEX3	.	4
chr6:143511245-143511486	proximal	FUCA2	.	4
chr6:143511634-143511817	proximal	FUCA2	.	12
chr6:143536568-143537943	proximal	PHACTR2	.	6
chr6:143678110-143678502	distal	.	.	10
chr6:143814052-143814289	distal	.	.	4
chr6:143982625-143982775	distal	.	.	2
chr6:143983107-143983257	distal	.	.	2
chr6:144057444-144057612	distal	.	.	2
chr6:144063381-144063552	distal	.	.	2
chr6:144063659-144063862	proximal	PLAGL1	.	2
chr6:144063986-144064222	proximal	PLAGL1	.	4
chr6:144133411-144133561	distal	.	.	2
chr6:144170844-144171191	distal	.	.	4
chr6:144216199-144216846	distal	.	.	4
chr6:144284931-144285400	proximal	UTRN	.	4
chr6:144286073-144286635	distal	.	.	2
chr6:144439690-144439840	distal	.	.	4
chr6:144482092-144482464	distal	.	.	2
chr6:144534423-144534618	distal	.	.	2
chr6:144559999-144560204	distal	.	.	2
chr6:144661366-144661718	distal	.	.	8
chr6:144977187-144977536	distal	.	.	2
chr6:146145753-146145903	distal	.	.	2
chr6:146451899-146452084	distal	.	.	2
chr6:148065491-148065690	distal	.	.	2
chr6:148342279-148342891	distal	.	.	4
chr6:148640707-148640909	distal	.	.	2
chr6:148747554-148748115	proximal	UST	.	4
chr6:148947990-148948206	distal	.	.	2
chr6:149033000-149033150	proximal	UST-AS2	.	4
chr6:149279156-149279367	distal	.	.	2
chr6:149301138-149301423	distal	.	.	10
chr6:149423476-149423885	distal	.	.	2
chr6:149517633-149517783	distal	.	.	2
chr6:149546500-149546817	proximal	PPIL4	.	2
chr6:149565998-149566827	proximal	GINM1	.	22
chr6:149594131-149594299	distal	.	.	16
chr6:149668646-149668818	distal	.	.	2
chr6:149693067-149693217	distal	.	.	4
chr6:149717557-149718483	proximal	ENSG00000278899,LATS1	.	20
chr6:149723936-149724133	distal	.	.	6
chr6:149746470-149746723	distal	.	.	6
chr6:149792010-149792160	distal	.	.	2
chr6:149863790-149864176	proximal	LRP11,RAET1E-AS1	.	8
chr6:149864266-149864550	proximal	LRP11,RAET1E-AS1	.	8
chr6:149913476-149913716	distal	.	.	2
chr6:149923020-149923298	proximal	RAET1G	.	4
chr6:149926211-149926463	distal	.	.	12
chr6:149941785-149942634	proximal	ULBP2	.	18
chr6:149963743-149964104	proximal	ULBP1	.	4
chr6:149983331-149983481	distal	.	.	2
chr6:149990176-149990381	distal	.	.	10
chr6:150004708-150004964	proximal	RAET1K	.	14
chr6:150005041-150005409	proximal	RAET1K	.	4
chr6:150016780-150016930	distal	.	.	4
chr6:150027597-150027940	distal	.	.	6
chr6:150070966-150071118	distal	.	.	10
chr6:150080758-150080936	distal	.	.	4
chr6:150151945-150152108	distal	.	.	2
chr6:150197605-150197878	distal	.	.	4
chr6:150418329-150418479	distal	.	.	12
chr6:150419124-150419291	distal	.	.	10
chr6:15043059-15043254	distal	.	.	2
chr6:150528541-150528952	distal	.	.	2
chr6:150582414-150582564	distal	.	.	6
chr6:150600521-150600977	proximal	ENSG00000232891,PLEKHG1	.	12
chr6:150662297-150662640	distal	.	.	6
chr6:150668532-150668706	distal	.	.	2
chr6:150719435-150719789	distal	.	.	10
chr6:150779333-150779483	distal	.	.	4
chr6:150865512-150865984	proximal	MTHFD1L	.	4
chr6:150866213-150866585	proximal	MTHFD1L	.	12
chr6:150872416-150872566	distal	.	.	8
chr6:150997224-150997374	distal	.	.	6
chr6:151045049-151045424	distal	.	.	8
chr6:151240350-151240586	proximal	AKAP12	.	4
chr6:151240970-151241464	distal	.	.	6
chr6:151390932-151391372	proximal	ZBTB2	.	4
chr6:151451948-151452620	proximal	ARMT1,RMND1	.	8
chr6:15147925-15148303	distal	.	.	4
chr6:151552815-151553048	distal	.	.	2
chr6:151675707-151676213	distal	.	.	2
chr6:152301760-152302363	distal	.	.	2
chr6:15255273-15255468	distal	.	.	4
chr6:152984221-152984404	proximal	ENSG00000227627,FBXO5	.	8
chr6:153094095-153094245	distal	.	.	8
chr6:153231158-153231308	proximal	ENSG00000213121	.	4
chr6:153979176-153979537	distal	.	.	4
chr6:15400029-15400417	distal	.	.	4
chr6:15400744-15400946	distal	.	.	4
chr6:154342425-154342632	distal	.	.	2
chr6:154593165-154593625	distal	.	.	2
chr6:154695255-154695588	distal	.	.	4
chr6:15491491-15491660	distal	.	.	6
chr6:155174600-155174750	distal	.	.	2
chr6:15523231-15523435	distal	.	.	2
chr6:155278684-155278834	distal	.	.	2
chr6:15531187-15531342	distal	.	.	2
chr6:155381972-155382224	proximal	ENSG00000232529	.	4
chr6:155974143-155974296	distal	.	.	2
chr6:15604425-15604575	distal	.	.	4
chr6:156337616-156337766	distal	.	.	2
chr6:156541307-156541590	distal	.	.	4
chr6:15662279-15663220	proximal	DTNBP1	.	20
chr6:156687683-156688254	distal	.	.	2
chr6:156752669-156752820	distal	.	.	2
chr6:156777117-156777306	distal	.	.	2
chr6:156933187-156933456	distal	.	.	2
chr6:157021259-157021882	distal	.	.	2
chr6:157022015-157022413	distal	.	.	10
chr6:157323118-157323904	proximal	TMEM242,TMEM242-DT	.	8
chr6:157756757-157756971	distal	.	.	8
chr6:15785191-15785392	distal	.	.	2
chr6:157873818-157873973	distal	.	.	8
chr6:157953384-157953624	distal	.	.	4
chr6:157981454-157981883	proximal	SYNJ2	.	4
chr6:157989804-157990302	distal	.	.	4
chr6:158026259-158026752	distal	.	.	8
chr6:158031398-158031775	distal	.	.	8
chr6:158040324-158040530	distal	.	.	2
chr6:158040604-158040787	distal	.	.	4
chr6:158167830-158168967	proximal	GTF2H5,SERAC1	.	16
chr6:158231643-158232472	proximal	TULP4	.	2
chr6:158254012-158254326	distal	.	.	10
chr6:158552268-158552551	distal	.	.	2
chr6:158568248-158568398	distal	.	.	2
chr6:158704268-158704454	distal	.	.	2
chr6:158767053-158767203	distal	.	.	2
chr6:158818280-158819053	proximal	EZR,EZR-AS1	.	12
chr6:158852633-158852839	proximal	ENSG00000285159	.	4
chr6:158853202-158853602	proximal	ENSG00000285159	.	2
chr6:158869177-158870301	proximal	LINC02901	.	8
chr6:159104159-159104350	distal	.	.	2
chr6:159134783-159134985	distal	.	.	4
chr6:159141058-159141229	distal	.	.	2
chr6:15949380-15949530	distal	.	.	8
chr6:159693237-159693875	distal	.	.	4
chr6:1597011-1597250	distal	.	.	2
chr6:159711521-159711988	distal	.	.	4
chr6:159726885-159727876	distal	.	.	2
chr6:1597370-1597639	distal	.	.	4
chr6:159863621-159863854	distal	.	.	2
chr6:159968823-159969084	proximal	IGF2R	.	4
chr6:159979312-159979493	distal	.	.	2
chr6:159997118-159997477	distal	.	.	2
chr6:160024023-160024243	distal	.	.	2
chr6:160244121-160244281	distal	.	.	2
chr6:1609338-1609592	proximal	FOXC1	.	4
chr6:161273332-161273656	proximal	AGPAT4	.	2
chr6:161273788-161274280	proximal	AGPAT4	.	6
chr6:161286892-161287096	distal	.	.	4
chr6:161586852-161587299	distal	.	.	6
chr6:161656082-161656232	distal	.	.	4
chr6:161703455-161703668	distal	.	.	4
chr6:161891507-161891855	distal	.	.	2
chr6:16206687-16206837	distal	.	.	2
chr6:16222907-16223174	distal	.	.	2
chr6:162727355-162728109	proximal	PACRG,PRKN	.	8
chr6:16277384-16277581	distal	.	.	2
chr6:16285807-16285996	distal	.	.	6
chr6:16286208-16286391	distal	.	.	12
chr6:16320063-16320285	distal	.	.	2
chr6:163295916-163296066	distal	.	.	2
chr6:163414562-163414972	proximal	CAHM,QKI	.	8
chr6:163716193-163716343	distal	.	.	2
chr6:164405945-164406133	distal	.	.	2
chr6:164710317-164710487	distal	.	.	2
chr6:16491161-16491424	distal	.	.	12
chr6:16547956-16548173	distal	.	.	4
chr6:165662252-165662448	distal	.	.	8
chr6:165674362-165674724	distal	.	.	4
chr6:166097588-166097905	proximal	ENSG00000287824	.	4
chr6:166309346-166309496	proximal	ENSG00000287189,PRR18	.	8
chr6:16632640-16632790	distal	.	.	2
chr6:166573642-166573792	distal	.	.	2
chr6:16712552-16712779	distal	.	.	8
chr6:16722119-16722292	distal	.	.	2
chr6:167267166-167267331	distal	.	.	8
chr6:167355906-167356097	distal	.	.	2
chr6:167589903-167590110	distal	.	.	2
chr6:16761277-16762048	proximal	ATXN1,ATXN1-AS1	.	20
chr6:167827114-167827377	proximal	AFDN,AFDN-DT	.	8
chr6:167827565-167827950	proximal	AFDN,AFDN-DT	.	8
chr6:167847146-167847296	distal	.	.	8
chr6:167966340-167966520	distal	.	.	2
chr6:16803800-16804142	distal	.	.	8
chr6:16849384-16849827	distal	.	.	4
chr6:169380406-169380561	distal	.	.	12
chr6:16964853-16965347	distal	.	.	2
chr6:169701767-169702694	proximal	C6orf120,ENSG00000285733,WDR27	.	12
chr6:170036962-170037198	distal	.	.	2
chr6:170108712-170108862	distal	.	.	10
chr6:170553207-170553507	proximal	PSMB1,TBP	.	8
chr6:1709179-1709349	distal	.	.	4
chr6:17098704-17098854	distal	.	.	2
chr6:17232984-17233134	distal	.	.	4
chr6:17281392-17281840	proximal	ENSG00000287559,ENSG00000288812,RBM24	.	12
chr6:17393561-17394080	proximal	CAP2	.	8
chr6:17433002-17433210	distal	.	.	2
chr6:17472524-17473014	distal	.	.	4
chr6:17484317-17484660	distal	.	.	2
chr6:17600106-17600773	proximal	ENSG00000286885,FAM8A1	.	28
chr6:17641223-17641538	distal	.	.	2
chr6:17721606-17721768	distal	.	.	2
chr6:17777416-17777575	distal	.	.	2
chr6:17784028-17784178	distal	.	.	4
chr6:17973875-17974174	distal	.	.	2
chr6:18058017-18058167	distal	.	.	8
chr6:1809251-1809490	distal	.	.	2
chr6:18264048-18265028	proximal	DEK	.	8
chr6:18434572-18434825	distal	.	.	8
chr6:18488322-18488547	distal	.	.	4
chr6:1850126-1850276	distal	.	.	2
chr6:1885069-1885219	distal	.	.	2
chr6:1893910-1894060	distal	.	.	2
chr6:1914133-1914283	distal	.	.	8
chr6:19804637-19805214	distal	.	.	2
chr6:19851611-19852136	distal	.	.	10
chr6:19904542-19904692	distal	.	.	2
chr6:20205969-20206157	distal	.	.	2
chr6:20212353-20212972	proximal	ENSG00000227803,MBOAT1	.	8
chr6:2030968-2031118	distal	.	.	4
chr6:20403397-20403780	distal	.	.	2
chr6:2089664-2089908	distal	.	.	2
chr6:20918268-20918418	distal	.	.	2
chr6:2109075-2109286	distal	.	.	4
chr6:21348286-21348810	distal	.	.	2
chr6:21588551-21589177	distal	.	.	6
chr6:21594956-21595106	proximal	ENSG00000283480	.	4
chr6:21629567-21629717	distal	.	.	2
chr6:21800993-21801172	distal	.	.	2
chr6:2202038-2202188	distal	.	.	2
chr6:22217406-22217581	distal	.	.	4
chr6:2245276-2245897	proximal	GMDS,GMDS-DT	.	16
chr6:2268080-2268296	distal	.	.	4
chr6:229316-229575	distal	.	.	2
chr6:2320516-2320807	distal	.	.	4
chr6:24319586-24319771	distal	.	.	8
chr6:24341694-24341844	distal	.	.	4
chr6:24357914-24358064	proximal	DCDC2	.	4
chr6:24494843-24495001	proximal	ALDH5A1,GPLD1	.	4
chr6:24495117-24495522	proximal	ALDH5A1,GPLD1	.	4
chr6:2450242-2450440	distal	.	.	4
chr6:24521029-24521212	distal	.	.	6
chr6:2454240-2454390	distal	.	.	4
chr6:24584404-24584647	distal	.	.	2
chr6:24645610-24646254	proximal	KIAA0319	.	8
chr6:24666437-24667474	proximal	ACOT13,TDP2	.	16
chr6:24720180-24720439	proximal	C6orf62,ENSG00000288851	.	8
chr6:24809824-24810018	proximal	ENSG00000282804	.	4
chr6:24925404-24925754	distal	.	.	10
chr6:25070785-25070996	distal	.	.	2
chr6:25315415-25315596	distal	.	.	2
chr6:25418820-25418970	distal	.	.	8
chr6:25547888-25548110	distal	.	.	4
chr6:25556505-25556938	distal	.	.	12
chr6:25586696-25586893	distal	.	.	8
chr6:2567963-2568113	distal	.	.	4
chr6:25780248-25780398	distal	.	.	2
chr6:25786702-25786867	distal	.	.	12
chr6:25788560-25788772	distal	.	.	2
chr6:2579653-2579803	distal	.	.	8
chr6:25843359-25843513	distal	.	.	8
chr6:25925717-25925867	distal	.	.	2
chr6:25939711-25939890	distal	.	.	4
chr6:25962191-25962511	proximal	TRIM38	.	6
chr6:25991852-25992223	proximal	LINC02980	.	4
chr6:25992490-25993096	proximal	LINC02980	.	10
chr6:26000611-26000854	distal	.	.	16
chr6:26020323-26020616	proximal	H3C1	.	2
chr6:26021380-26021881	proximal	H4C1	.	12
chr6:26026866-26027280	proximal	H4C2	.	16
chr6:26031931-26032277	proximal	H3C2	.	2
chr6:26055121-26055923	proximal	H1-2	.	12
chr6:26056306-26056606	proximal	H1-2	.	14
chr6:26066228-26066392	distal	.	.	4
chr6:26103639-26104328	proximal	H4C3	.	6
chr6:26104396-26104573	proximal	H4C3	.	2
chr6:26123029-26123449	proximal	H2AC6,H2BC4	.	8
chr6:26123703-26124401	proximal	H2AC6,H2BC4	.	24
chr6:26157829-26158393	proximal	ENSG00000289117,H2BC5	.	24
chr6:26166190-26166340	distal	.	.	4
chr6:26171807-26172239	proximal	ENSG00000283064,H2BC6	.	28
chr6:26188401-26188607	proximal	H4C4	.	2
chr6:26188682-26189300	proximal	H4C4	.	12
chr6:26199055-26199600	proximal	ENSG00000282988,H2AC7,H2BC7	.	36
chr6:26204410-26204952	proximal	H4C5	.	16
chr6:26205363-26205535	proximal	H4C5	.	6
chr6:26223287-26223628	proximal	H3C6	.	6
chr6:26224004-26224429	proximal	H3C6	.	10
chr6:26234709-26235067	proximal	H1-3	.	2
chr6:26250204-26250467	proximal	H3C7	.	12
chr6:26285273-26285746	proximal	ENSG00000289447,H4C8	.	4
chr6:26285804-26285954	proximal	ENSG00000289447,H4C8	.	8
chr6:26305155-26305574	distal	.	.	12
chr6:26311719-26311869	distal	.	.	10
chr6:26312960-26313276	distal	.	.	10
chr6:26322083-26323164	distal	.	.	2
chr6:26330282-26330469	distal	.	.	8
chr6:26331338-26331571	proximal	ENSG00000287050	.	2
chr6:26341504-26342121	distal	.	.	18
chr6:2634210-2634782	proximal	LINC01600	.	8
chr6:26365054-26365599	proximal	BTN3A2	.	10
chr6:26382924-26383505	proximal	BTN2A2	.	6
chr6:26402100-26402278	proximal	BTN3A1	.	8
chr6:26402407-26402595	proximal	BTN3A1	.	6
chr6:26420631-26421003	proximal	BTN2A3P	.	8
chr6:26421243-26421499	proximal	BTN2A3P	.	4
chr6:26457764-26458046	proximal	BTN2A1	.	16
chr6:26473845-26474069	proximal	ENSG00000290055	.	16
chr6:26474142-26474358	proximal	ENSG00000290055	.	6
chr6:26520501-26520651	distal	.	.	8
chr6:26520770-26521327	proximal	HCG11	.	14
chr6:26521465-26521901	proximal	HCG11	.	10
chr6:26521975-26522132	proximal	HCG11	.	8
chr6:26532837-26533047	distal	.	.	8
chr6:26537317-26537759	proximal	HMGN4	.	20
chr6:26538249-26538691	proximal	HMGN4	.	8
chr6:26544091-26544253	distal	.	.	4
chr6:26553398-26553615	distal	.	.	4
chr6:26554059-26554270	distal	.	.	16
chr6:26555222-26555417	distal	.	.	16
chr6:26556501-26556937	distal	.	.	28
chr6:26568761-26568940	proximal	ENSG00000284607	.	4
chr6:26569158-26569335	proximal	ENSG00000284607	.	2
chr6:26571696-26572140	distal	.	.	10
chr6:26572421-26572838	distal	.	.	28
chr6:26577546-26577714	distal	.	.	10
chr6:26595657-26596214	distal	.	.	10
chr6:26596647-26597249	proximal	ABT1	.	20
chr6:26607489-26607659	distal	.	.	12
chr6:26659472-26660174	proximal	ZNF322	.	28
chr6:26743139-26743332	distal	.	.	32
chr6:26743411-26743826	distal	.	.	20
chr6:26755412-26755604	distal	.	.	8
chr6:26756037-26756361	distal	.	.	12
chr6:26863569-26863825	distal	.	.	10
chr6:26956157-26957163	proximal	GUSBP2,LINC00240	.	24
chr6:27019669-27020088	proximal	ENSG00000287966	.	14
chr6:27020189-27020483	proximal	ENSG00000287966	.	22
chr6:27078739-27079228	distal	.	.	12
chr6:27091666-27092074	distal	.	.	6
chr6:27127135-27127459	distal	.	.	10
chr6:27131911-27132070	proximal	H2BC11	.	20
chr6:27132536-27133187	proximal	H2AC11,H2BC11	.	4
chr6:27145763-27146271	proximal	H2BC12	.	8
chr6:27146599-27147390	proximal	H2AC12,H2BC12	.	64
chr6:27157807-27158226	distal	.	.	4
chr6:27177732-27178351	proximal	ENSG00000290009	.	22
chr6:27188395-27188804	distal	.	.	2
chr6:27188908-27189094	distal	.	.	8
chr6:27196162-27196312	distal	.	.	2
chr6:27209342-27209492	distal	.	.	4
chr6:27213523-27214018	distal	.	.	12
chr6:27214335-27214507	distal	.	.	6
chr6:27214757-27214944	distal	.	.	22
chr6:27215115-27215329	distal	.	.	4
chr6:27229752-27230175	distal	.	.	12
chr6:27230233-27230619	distal	.	.	2
chr6:27235572-27235731	distal	.	.	14
chr6:27250953-27251996	distal	.	.	16
chr6:27280222-27280380	distal	.	.	4
chr6:27296351-27296656	distal	.	.	8
chr6:27297971-27298140	distal	.	.	14
chr6:27312241-27312974	proximal	POM121L2	.	16
chr6:27332980-27333147	distal	.	.	10
chr6:27334697-27335181	distal	.	.	4
chr6:27365877-27366027	distal	.	.	12
chr6:27375161-27375445	proximal	ENSG00000291112,ZNF391	.	32
chr6:27389180-27389432	distal	.	.	6
chr6:27472141-27473264	proximal	ENSG00000286652,ZNF184	.	36
chr6:27478767-27479159	distal	.	.	8
chr6:27479272-27479806	distal	.	.	10
chr6:27495461-27495879	distal	.	.	14
chr6:27502700-27502929	distal	.	.	12
chr6:27503002-27503290	distal	.	.	4
chr6:27547228-27547450	distal	.	.	12
chr6:27548629-27548798	distal	.	.	18
chr6:27553126-27553689	distal	.	.	16
chr6:27592486-27592941	distal	.	.	4
chr6:27601991-27602737	distal	.	.	10
chr6:27605590-27605809	distal	.	.	4
chr6:27609201-27609359	distal	.	.	4
chr6:27617269-27617592	distal	.	.	14
chr6:27618213-27618591	distal	.	.	12
chr6:27630924-27631121	distal	.	.	8
chr6:27650618-27651064	distal	.	.	22
chr6:27651369-27651710	distal	.	.	18
chr6:2765795-2766009	proximal	WRNIP1	.	2
chr6:27671963-27672508	distal	.	.	2
chr6:27687514-27687772	distal	.	.	4
chr6:27688126-27688395	distal	.	.	26
chr6:27693622-27694514	proximal	LINC01012	.	10
chr6:27752302-27752571	distal	.	.	6
chr6:27752724-27752907	distal	.	.	12
chr6:27753089-27753562	distal	.	.	8
chr6:27772318-27772760	distal	.	.	20
chr6:27785323-27785473	distal	.	.	4
chr6:27791285-27791472	distal	.	.	4
chr6:27792101-27792573	distal	.	.	16
chr6:27795841-27796105	distal	.	.	8
chr6:27807160-27807337	proximal	H2AC13,H2BC13	.	8
chr6:27807552-27807702	proximal	H2AC13,H2BC13	.	20
chr6:27807862-27808257	proximal	H2AC13,H2BC13	.	8
chr6:27809902-27810442	proximal	H3C10	.	20
chr6:27823943-27824097	proximal	H4C11	.	12
chr6:27837064-27837227	distal	.	.	4
chr6:27837947-27838666	proximal	H2AC15,H2BC15	.	8
chr6:27865213-27865440	proximal	H2AC16	.	4
chr6:27892898-27893545	proximal	H2AC17,H2BC17,H3C12	.	60
chr6:27893610-27893941	proximal	H2AC17,H2BC17,H3C12	.	18
chr6:27894441-27894601	distal	.	.	6
chr6:27902701-27903407	distal	.	.	10
chr6:2791308-2791592	distal	.	.	2
chr6:2797095-2797343	distal	.	.	2
chr6:28080348-28081003	proximal	ENSG00000272009,ZNF165	.	44
chr6:28081528-28081678	proximal	ENSG00000272009	.	4
chr6:28104418-28104811	distal	.	.	12
chr6:28104902-28105198	distal	.	.	4
chr6:28124433-28125103	distal	.	.	16
chr6:28134069-28134274	distal	.	.	4
chr6:28136753-28136955	proximal	ENSG00000261839,ZSCAN16-AS1	.	24
chr6:28137285-28137553	proximal	ENSG00000261839,ZSCAN16-AS1	.	12
chr6:28161574-28161874	proximal	ZKSCAN8P1	.	10
chr6:28212243-28212407	distal	.	.	10
chr6:28212490-28213161	distal	.	.	2
chr6:28218594-28219111	distal	.	.	2
chr6:28225138-28225696	proximal	ZSCAN9	.	10
chr6:28252225-28252441	proximal	ZKSCAN4	.	8
chr6:28266912-28267394	proximal	ENSG00000276302,ZSCAN26	.	16
chr6:28267477-28267690	proximal	ENSG00000276302,ZSCAN26	.	12
chr6:28281762-28282026	proximal	PGBD1	.	8
chr6:28322001-28322177	distal	.	.	8
chr6:28335398-28336200	proximal	ENSG00000289467,ENSG00000290051	.	24
chr6:28343718-28343868	distal	.	.	8
chr6:28349914-28350464	proximal	ZKSCAN3	.	16
chr6:28355557-28356182	proximal	ZSCAN31	.	20
chr6:28399645-28399999	proximal	ZSCAN12	.	12
chr6:2841320-2841671	proximal	SERPINB1	.	10
chr6:2841831-2842059	proximal	SERPINB1	.	6
chr6:28443098-28443614	proximal	ZSCAN23	.	8
chr6:28447313-28447528	distal	.	.	8
chr6:28474617-28474774	distal	.	.	4
chr6:28489449-28489659	proximal	ENSG00000286819,ENSG00000287804	.	8
chr6:2853791-2854012	distal	.	.	2
chr6:28588280-28588441	proximal	ZBED9-AS1	.	10
chr6:291920-292659	proximal	DUSP22,ENSG00000287265	.	16
chr6:2926200-2926434	distal	.	.	16
chr6:2952537-2952986	distal	.	.	6
chr6:2970795-2972230	proximal	SERPINB6	.	30
chr6:2985943-2986355	distal	.	.	4
chr6:2988563-2989348	proximal	LINC01011,NQO2	.	8
chr6:2989815-2990025	distal	.	.	8
chr6:2999325-3000297	proximal	NQO2-AS1	.	4
chr6:3053745-3054118	distal	.	.	16
chr6:3068678-3069469	proximal	ENSG00000272277	.	14
chr6:31168476-31168666	distal	.	.	2
chr6:3118288-3118813	proximal	BPHL	.	4
chr6:3119001-3119151	proximal	BPHL	.	8
chr6:3132371-3132521	distal	.	.	4
chr6:3157202-3157702	proximal	TUBB2A	.	8
chr6:3162488-3163284	distal	.	.	4
chr6:31638601-31638827	distal	.	.	2
chr6:3209272-3209535	distal	.	.	2
chr6:3209603-3209758	distal	.	.	6
chr6:3227485-3227854	distal	.	.	8
chr6:3231535-3231835	proximal	PSMG4,TUBB2B	.	8
chr6:3238467-3238617	distal	.	.	8
chr6:3251557-3251708	distal	.	.	8
chr6:3258775-3259237	distal	.	.	4
chr6:32622565-32622715	distal	.	.	4
chr6:32971916-32972325	proximal	ENSG00000263756	.	8
chr6:33433283-33433433	distal	.	.	4
chr6:33482211-33482424	distal	.	.	6
chr6:33571316-33571518	distal	.	.	2
chr6:33580141-33580437	proximal	BAK1	.	4
chr6:33585693-33585896	distal	.	.	6
chr6:33620986-33621202	proximal	ITPR3	.	6
chr6:33633789-33633954	distal	.	.	2
chr6:33668468-33668751	distal	.	.	2
chr6:33711246-33711869	proximal	UQCC2	.	2
chr6:33762117-33762267	distal	.	.	2
chr6:33771418-33772039	distal	.	.	4
chr6:33789046-33789316	proximal	LEMD2	.	4
chr6:33935986-33936136	distal	.	.	2
chr6:34026731-34026881	distal	.	.	4
chr6:34031923-34032133	distal	.	.	2
chr6:34045234-34045384	distal	.	.	14
chr6:34091566-34091716	distal	.	.	2
chr6:34154768-34155018	proximal	GRM4	.	4
chr6:34223481-34223632	distal	.	.	8
chr6:34223721-34224245	distal	.	.	18
chr6:34248485-34248895	proximal	ENSG00000225339,SMIM29	.	16
chr6:34248984-34249351	proximal	ENSG00000225339,SMIM29	.	20
chr6:34392554-34393017	proximal	NUDT3	.	6
chr6:34462482-34462704	distal	.	.	6
chr6:34512849-34513122	distal	.	.	4
chr6:34527215-34527413	distal	.	.	10
chr6:3456728-3457378	proximal	SLC22A23	.	6
chr6:34609523-34610025	distal	.	.	4
chr6:34625881-34626031	distal	.	.	4
chr6:34696278-34697079	proximal	ILRUN,ILRUN-AS1	.	16
chr6:34756688-34757044	proximal	SNRPC	.	4
chr6:34757210-34757540	proximal	SNRPC	.	2
chr6:3476495-3476645	distal	.	.	4
chr6:34791868-34792064	proximal	BLTP3A	.	6
chr6:34792212-34792544	proximal	BLTP3A	.	2
chr6:34792632-34792972	proximal	BLTP3A	.	4
chr6:348805-348968	distal	.	.	2
chr6:34889081-34889520	proximal	ANKS1A,TAF11	.	4
chr6:3495180-3495395	distal	.	.	4
chr6:35025723-35026053	distal	.	.	4
chr6:35258897-35259136	proximal	ZNF76	.	2
chr6:35259197-35260089	proximal	ZNF76	.	2
chr6:35297649-35298079	proximal	DEF6	.	12
chr6:35318360-35318689	distal	.	.	2
chr6:35342288-35342670	proximal	PPARD	.	8
chr6:35363168-35363647	distal	.	.	10
chr6:3537860-3538010	distal	.	.	14
chr6:3541426-3541580	distal	.	.	2
